Veh_ID depot_x depot_y capacity
1 50 50 70
2 50 50 70
3 50 50 70
4 50 50 70
5 50 50 70
6 50 50 70
7 50 50 70
8 50 50 70
9 50 50 70
10 50 50 70
11 50 50 70
12 50 50 70
13 50 50 70
14 50 50 70
15 50 50 70
16 50 50 70
17 50 50 70
18 50 50 70
19 50 50 70
20 50 50 70
21 50 50 70
22 50 50 70
23 50 50 70
24 50 50 70
25 50 50 70
26 50 50 70
27 50 50 70
28 50 50 70
29 50 50 70
30 50 50 70
31 50 50 70
32 50 50 70
33 50 50 70
34 50 50 70
35 50 50 70
36 50 50 70
37 50 50 70
38 50 50 70
39 50 50 70
40 50 50 70
41 50 50 70
42 50 50 70
43 50 50 70
44 50 50 70
45 50 50 70
46 50 50 70
47 50 50 70
48 50 50 70
49 50 50 70
50 50 50 70
51 50 50 70
52 50 50 70
53 50 50 70
54 50 50 70
55 50 50 70
56 50 50 70
57 50 50 70
58 50 50 70
59 50 50 70
60 50 50 70
61 50 50 70
62 50 50 70
63 50 50 70
64 50 50 70
65 50 50 70
66 50 50 70
67 50 50 70
68 50 50 70
69 50 50 70
70 50 50 70
71 50 50 70
72 50 50 70
73 50 50 70
74 50 50 70
75 50 50 70
76 50 50 70
77 50 50 70
78 50 50 70
79 50 50 70
80 50 50 70
81 50 50 70
82 50 50 70
83 50 50 70
84 50 50 70
85 50 50 70
86 50 50 70
87 50 50 70
88 50 50 70
89 50 50 70
90 50 50 70
91 50 50 70
92 50 50 70
93 50 50 70
94 50 50 70
95 50 50 70
96 50 50 70
97 50 50 70
98 50 50 70
99 50 50 70
100 50 50 70
101 50 50 70
102 50 50 70
103 50 50 70
104 50 50 70
105 50 50 70
106 50 50 70
